airport_name,iata_code,country_code,city,airport_type,latitude,longitude
Mid Delta Regional Airport,GLH,US,Greenville,medium_airport,33.482899,-90.985603
Scholes International At Galveston Airport,GLS,US,Galveston,medium_airport,29.265301,-94.860397
Greenville Downtown Airport,GMU,US,Greenville,medium_airport,34.847903,-82.350217
Gainesville Regional Airport,GNV,US,Gainesville,medium_airport,29.6900997162,-82.2717971802
Groton New London Airport,GON,US,Groton,medium_airport,41.330101,-72.045097
Glacier Park International Airport,FCA,US,Kalispell,medium_airport,48.310501,-114.255997
Gulfport Biloxi International Airport,GPT,US,Gulfport,medium_airport,30.405582,-89.069836
Austin Straubel International Airport,GRB,US,Green Bay,medium_airport,44.483459,-88.130805
Gray Army Air Field,GRF,US,Fort Lewis/Tacoma,medium_airport,47.07920074,-122.5810013
Central Nebraska Regional Airport,GRI,US,Grand Island,medium_airport,40.967498779296875,-98.30960083007812
Killeen Regional Airport / Robert Gray Army Airfield,GRK,US,Fort Cavazos,medium_airport,31.0672,-97.828903
Gerald R. Ford International Airport,GRR,US,Grand Rapids,large_airport,42.880798,-85.522797
Seymour Johnson Air Force Base,GSB,US,Goldsboro,medium_airport,35.339401,-77.960602
Piedmont Triad International Airport,GSO,US,Greensboro,large_airport,36.09937,-79.937262
Greenville-Spartanburg International Airport,GSP,US,Greenville/Greer/Spartanburg,medium_airport,34.895699,-82.218903
Great Falls International Airport,GTF,US,Great Falls,medium_airport,47.481998,-111.371002
Golden Triangle Regional Airport,GTR,US,Columbus/W Point/Starkville,medium_airport,33.450298,-88.5914
Gunnison Crested Butte Regional Airport,GUC,US,Gunnison,medium_airport,38.534672,-106.934566
Gallup Municipal Airport,GUP,US,Gallup,medium_airport,35.511653,-108.788166
Grissom Air Reserve Base,GUS,US,Peru,medium_airport,40.648102,-86.1521
Guymon Municipal Airport,GUY,US,Guymon,medium_airport,36.6851005554,-101.508003235
Greenwood–Leflore Airport,GWO,US,Greenwood,medium_airport,33.495025,-90.088204
North Texas Regional Airport Perrin Field,PNX,US,Denison,medium_airport,33.7141,-96.673698
Gary/Chicago International Airport,GYY,US,Gary,medium_airport,41.617087,-87.413206
Dara Sakor International Airport,DSY,KH,Ta Noun,large_airport,10.914244,103.226652
Techo International Airport,KTI,KH,Phnom Penh (Boeng Khyang),large_airport,11.359987,104.921272
Hattiesburg Bobby L Chain Municipal Airport,HBG,US,Hattiesburg,medium_airport,31.26479912,-89.25279999
Hobart Regional Airport,HBR,US,Hobart,medium_airport,34.991317,-99.051313
Yampa Valley Airport,HDN,US,Hayden,medium_airport,40.481201,-107.218002
Manassas Regional Airport/Harry P. Davis Field,MNZ,US,Manassas,medium_airport,38.721401,-77.515404
Hartford Brainard Airport,HFD,US,Hartford,medium_airport,41.736698150635,-72.649398803711
Hagerstown Regional Richard A Henson Field,HGR,US,Hagerstown,medium_airport,39.708771,-77.728014
Jack Northrop Field Hawthorne Municipal Airport,HHR,US,Hawthorne,medium_airport,33.922798,-118.334999
Range Regional Airport,HIB,US,Hibbing,medium_airport,47.384831,-92.836905
Hill Air Force Base,HIF,US,Ogden,medium_airport,41.12403,-111.973086
Lake Havasu City Airport,HII,US,Lake Havasu City,medium_airport,34.570506,-114.357745
Portland Hillsboro Airport,HIO,US,Portland,medium_airport,45.540401,-122.949997
Hickory Regional Airport,HKY,US,Hickory,medium_airport,35.74110031,-81.38950348
Wheeling Ohio County Airport,HLG,US,Wheeling,medium_airport,40.1749992371,-80.6463012695
Helena Regional Airport,HLN,US,Helena,medium_airport,46.6068,-111.983002
Holloman Air Force Base,HMN,US,Alamogordo,medium_airport,32.852501,-106.107002
Lea County Regional Airport,HOB,US,Hobbs,medium_airport,32.6875,-103.217003
Huron Regional Airport,HON,US,Huron,medium_airport,44.385201,-98.2285
Campbell Army Airfield (Fort Campbell),HOP,US,Fort Campbell,medium_airport,36.674154,-87.48974
Memorial Field Airport,HOT,US,Hot Springs,medium_airport,34.4788,-93.096262
William P. Hobby Airport,HOU,US,Houston,large_airport,29.645336,-95.276812
Westchester County Airport,HPN,US,White Plains,medium_airport,41.06700134277344,-73.70760345458984
Bowerman Airport,HQM,US,Hoquiam,medium_airport,46.971199035599994,-123.93699646
Valley International Airport,HRL,US,Harlingen,medium_airport,26.228500366210938,-97.65440368652344
Boone County Airport,HRO,US,Harrison,medium_airport,36.26150131225586,-93.15470123291016
Homestead Air Reserve Base,HST,US,Homestead,medium_airport,25.4886,-80.383598
Huntsville International Airport,HSV,US,Huntsville,medium_airport,34.636244,-86.774378
Tri-State Airport / Milton J. Ferguson Field,HTS,US,Huntington,medium_airport,38.366699,-82.557999
Redstone Army Air Field,HUA,US,Redstone Arsnl Huntsville,medium_airport,34.67869949,-86.68479919
"Terre Haute Regional Airport, Hulman Field",HUF,US,Terre Haute,medium_airport,39.4515,-87.307602
Houlton International Airport,HUL,US,Houlton,medium_airport,46.1231002808,-67.792098999
Hutchinson Municipal Airport,HUT,US,Hutchinson,medium_airport,38.0654983521,-97.86060333250002
Tweed New Haven Airport,HVN,US,New Haven,medium_airport,41.262869,-72.887694
Havre City County Airport,HVR,US,Havre,medium_airport,48.541387,-109.762859
North Perry Airport,HWO,US,Hollywood,medium_airport,26.0012,-80.2407
Hilton Head Airport,HHH,US,Hilton Head Island,medium_airport,32.2244,-80.697502
Cape Cod Gateway Airport,HYA,US,Hyannis,medium_airport,41.6693,-70.280403
Sawyer County Airport,HYR,US,Hayward,medium_airport,46.025199890100005,-91.44429779050002
Hays Regional Airport,HYS,US,Hays,medium_airport,38.844521,-99.273148
Northeast Ohio Regional Airport,JFN,US,Ashtabula,medium_airport,41.778,-80.695503
McConnell Air Force Base,IAB,US,Wichita,medium_airport,37.621899,-97.268204
Washington Dulles International Airport,IAD,US,Dulles,large_airport,38.9445,-77.455803
Niagara Falls International Airport,IAG,US,Niagara Falls,medium_airport,43.1073,-78.946198
George Bush Intercontinental Airport,IAH,US,Houston,large_airport,29.9844,-95.3414
Wichita Dwight D. Eisenhower National Airport,ICT,US,Wichita,medium_airport,37.650314,-97.428583
Idaho Falls Regional Airport,IDA,US,Idaho Falls,medium_airport,43.514599,-112.070999
Laughlin Bullhead International Airport,IFP,US,Bullhead City,medium_airport,35.154726,-114.559322
Kingman Airport,IGM,US,Kingman,medium_airport,35.259499,-113.938004
Greater Kankakee Airport,IKK,US,Kankakee,medium_airport,41.07139968869999,-87.8462982178
Wilmington Airport,ILG,US,Wilmington,medium_airport,39.678699,-75.606499
Wilmington International Airport,ILM,US,Wilmington,medium_airport,34.272345,-77.905117
Wilmington Airpark,ILN,US,Wilmington,medium_airport,39.427898407,-83.792098999
Ford Airport,IMT,US,Kingsford,medium_airport,45.81911,-88.114557
Indianapolis International Airport,IND,US,Indianapolis,large_airport,39.7173,-86.294403
Winkler County Airport,INK,US,Wink,medium_airport,31.779600143399996,-103.200996399
Falls International Airport,INL,US,International Falls,medium_airport,48.566200256347656,-93.4030990600586
Smith Reynolds Airport,INT,US,Winston Salem,medium_airport,36.13370132446289,-80.22200012207031
Winslow Lindbergh Regional Airport,INW,US,Winslow,medium_airport,35.021900177,-110.722999573
Imperial County Airport,IPL,US,Imperial,medium_airport,32.83539,-115.574026
Williamsport Regional Airport,IPT,US,Williamsport,medium_airport,41.242126,-76.92245
Kirksville Regional Airport,IRK,US,Kirksville,medium_airport,40.09349822998047,-92.5448989868164
Kissimmee Gateway Airport,ISM,US,Orlando,medium_airport,28.2898006439,-81.4371032715
Kinston Regional Jetport At Stallings Field,ISO,US,Kinston,medium_airport,35.331401825,-77.60880279540001
Long Island MacArthur Airport,ISP,US,Islip,medium_airport,40.796324,-73.101703
Ithaca Tompkins Regional Airport,ITH,US,Ithaca,medium_airport,42.49100112915039,-76.4583969116211
Mesa Gateway Airport,AZA,US,Mesa,medium_airport,33.3078,-111.654999
Jackson Hole Airport,JAC,US,Jackson,medium_airport,43.6073,-110.737999
Jackson-Medgar Wiley Evers International Airport,JAN,US,Jackson,medium_airport,32.311199,-90.075897
Jacksonville International Airport,JAX,US,Jacksonville,large_airport,30.492469,-81.687813
Jonesboro Municipal Airport,JBR,US,Jonesboro,medium_airport,35.83169937133789,-90.64640045166016
Kimble County Airport,JCT,US,Junction,medium_airport,30.5112991333,-99.7634963989
John F. Kennedy International Airport,JFK,US,New York,large_airport,40.639447,-73.779317
Chautauqua County-Jamestown Airport,JHW,US,Jamestown,medium_airport,42.15425,-79.254008
Joplin Regional Airport,JLN,US,Joplin,medium_airport,37.151798,-94.498299
Jamestown Regional Airport,JMS,US,Jamestown,medium_airport,46.92969894,-98.67819977
Concord-Padgett Regional Airport,USA,US,Concord,medium_airport,35.387798,-80.709099
John Murtha Johnstown Cambria County Airport,JST,US,Johnstown,medium_airport,40.31610107421875,-78.83390045166016
Jackson County Airport/Reynolds Field,JXN,US,Jackson,medium_airport,42.260509,-84.463019
Southwest Washington Regional Airport,KLS,US,Kelso,medium_airport,46.11800003049999,-122.898002625
Southeast Colorado Regional Airport,LAA,US,Lamar,medium_airport,38.066407,-102.691373
Purdue University Airport,LAF,US,West Lafayette,medium_airport,40.412875,-86.939363
Lakeland Linder International Airport,LAL,US,Lakeland,medium_airport,27.989267,-82.020715
Capital Region International Airport,LAN,US,Lansing,medium_airport,42.777582,-84.585721
Laramie Regional Airport,LAR,US,Laramie,medium_airport,41.31209945678711,-105.6750030517578
Harry Reid International Airport,LAS,US,Las Vegas,large_airport,36.083361,-115.151817
Lawton Fort Sill Regional Airport,LAW,US,Lawton,medium_airport,34.567699,-98.416603
Los Angeles International Airport,LAX,US,Los Angeles,large_airport,33.942501,-118.407997
Lubbock Preston Smith International Airport,LBB,US,Lubbock,medium_airport,33.663601,-101.822998
Arnold Palmer Regional Airport,LBE,US,Latrobe,medium_airport,40.275902,-79.4048
North Platte Regional Airport Lee Bird Field,LBF,US,North Platte,medium_airport,41.12620163,-100.6839981
Liberal Mid-America Regional Airport,LBL,US,Liberal,medium_airport,37.0442009,-100.9599991
Lumberton Regional Airport,LBT,US,Lumberton,medium_airport,34.610773,-79.05943
